"Data from Richmond MathScience Innovation Center (37.55652, -77.40027)
* Davis data from 11/2 on may be off by one hour; daylight savings time doesn't appear to have been accounted for when the data was downloaded from Davis (weatherlink.com)",,,,,
"DEQ Date & Time
(UTC)","DEQ PM2.5
(ug/m^3)","Davis Date & Time*
(UTC)","Davis PM2.5
(ug/m^3)","PurpleAir Date & Time 
(UTC)","PurpleAir PM2.5
CORRECTED
(ug/m^3)"
4/19/2025 8:00:00,6.7,4/19/2025 8:00:00,6.5,4/19/2025 8:02:29,4.41
4/19/2025 9:00:00,6.2,4/19/2025 9:00:00,6.3,4/19/2025 9:00:30,3.73
4/19/2025 10:00:00,6.1,4/19/2025 10:00:00,6.0,4/19/2025 10:02:30,3.45
4/19/2025 11:00:00,6.3,4/19/2025 11:00:00,6.0,4/19/2025 11:00:31,3.43
4/19/2025 12:00:00,6.8,4/19/2025 12:00:00,6.5,4/19/2025 12:00:31,3.91
4/19/2025 13:00:00,8,4/19/2025 13:00:00,7.5,4/19/2025 13:00:32,5.29
4/19/2025 14:00:00,9.6,4/19/2025 14:00:00,10.5,4/19/2025 14:00:33,7.12
4/19/2025 15:00:00,10.9,4/19/2025 15:00:00,12.3,4/19/2025 15:02:33,8.36
4/19/2025 16:00:00,11.5,4/19/2025 16:00:00,13.3,4/19/2025 16:00:34,8.89
4/19/2025 17:00:00,12.4,4/19/2025 17:00:00,14.0,4/19/2025 17:00:35,9.79
4/19/2025 18:00:00,12.8,4/19/2025 18:00:00,14.5,4/19/2025 18:00:35,10.23
4/19/2025 19:00:00,13,4/19/2025 19:00:00,14.3,4/19/2025 19:02:36,10.12
4/19/2025 20:00:00,12.8,4/19/2025 20:00:00,14.0,4/19/2025 20:00:36,10.09
4/19/2025 21:00:00,12.3,4/19/2025 21:00:00,13.8,4/19/2025 21:02:37,9.74
4/19/2025 22:00:00,13,4/19/2025 22:00:00,14.3,4/19/2025 22:00:37,9.77
4/19/2025 23:00:00,13.1,4/19/2025 23:00:00,15.8,4/19/2025 23:02:38,9.66
4/20/2025 0:00:00,12.8,4/20/2025 0:00:00,16.8,4/20/2025 0:00:39,10.13
4/20/2025 1:00:00,14,4/20/2025 1:00:00,18.5,4/20/2025 1:02:39,10.73
4/20/2025 2:00:00,14.6,4/20/2025 2:00:00,20.3,4/20/2025 2:00:40,11.26
4/20/2025 3:00:00,14.8,4/20/2025 3:00:00,21.5,4/20/2025 3:00:40,11.43
4/20/2025 4:00:00,15,4/20/2025 4:00:00,22.5,4/20/2025 4:00:41,11.45
4/20/2025 5:00:00,15.2,4/20/2025 5:00:00,23.0,4/20/2025 5:04:41,11.34
4/20/2025 6:00:00,15.1,4/20/2025 6:00:00,22.8,4/20/2025 6:00:42,11.27
4/20/2025 7:00:00,15.6,4/20/2025 7:00:00,22.8,4/20/2025 7:00:42,11.57
4/20/2025 8:00:00,15.8,4/20/2025 8:00:00,23.8,4/20/2025 8:02:43,11.73
4/20/2025 9:00:00,16,4/20/2025 9:00:00,24.3,4/20/2025 9:00:43,11.86
4/20/2025 10:00:00,16.5,4/20/2025 10:00:00,25.5,4/20/2025 10:00:44,12.23
4/20/2025 11:00:00,16.1,4/20/2025 11:00:00,25.3,4/20/2025 11:02:45,12.09
4/20/2025 12:00:00,16.5,4/20/2025 12:00:00,25.5,4/20/2025 12:02:45,12.66
4/20/2025 13:00:00,16.3,4/20/2025 13:00:00,25.8,4/20/2025 13:00:46,13.23
4/20/2025 14:00:00,12.5,4/20/2025 14:00:00,17.5,4/20/2025 14:00:46,9.97
4/20/2025 15:00:00,11.4,4/20/2025 15:00:00,13.0,4/20/2025 15:00:47,8.93
4/20/2025 16:00:00,11.1,4/20/2025 16:00:00,11.3,4/20/2025 16:02:48,8.70
4/20/2025 17:00:00,11,4/20/2025 17:00:00,10.8,4/20/2025 17:00:48,8.76
4/20/2025 18:00:00,10.9,4/20/2025 18:00:00,10.0,4/20/2025 18:00:49,8.56
4/20/2025 19:00:00,10.7,4/20/2025 19:00:00,8.8,4/20/2025 19:00:49,8.49
4/20/2025 20:00:00,11,4/20/2025 20:00:00,8.5,4/20/2025 20:00:50,8.84
4/20/2025 21:00:00,12.3,4/20/2025 21:00:00,12.3,4/20/2025 21:00:50,9.41
4/20/2025 22:00:00,12.7,4/20/2025 22:00:00,12.0,4/20/2025 22:00:51,8.56
4/20/2025 23:00:00,15.9,4/20/2025 23:00:00,5.8,4/20/2025 23:00:52,5.55
4/21/2025 0:00:00,15.9,4/21/2025 0:00:00,4.3,4/21/2025 0:00:52,4.98
4/21/2025 1:00:00,14,4/21/2025 1:00:00,8.8,4/21/2025 1:00:53,6.55
4/21/2025 2:00:00,9.5,4/21/2025 2:00:00,8.0,4/21/2025 2:00:53,5.42
4/21/2025 3:00:00,8.2,4/21/2025 3:00:00,6.5,4/21/2025 3:00:54,4.65
4/21/2025 4:00:00,6.9,4/21/2025 4:00:00,5.0,4/21/2025 4:00:55,4.07
4/21/2025 5:00:00,6.4,4/21/2025 5:00:00,4.5,4/21/2025 5:04:55,3.83
4/21/2025 6:00:00,6,4/21/2025 6:00:00,4.0,4/21/2025 6:00:56,3.59
4/21/2025 7:00:00,5.8,4/21/2025 7:00:00,4.0,4/21/2025 7:00:56,3.42
4/21/2025 8:00:00,5.6,4/21/2025 8:00:00,3.3,4/21/2025 8:00:57,3.49
4/21/2025 9:00:00,5.2,4/21/2025 9:00:00,2.5,4/21/2025 9:00:57,3.56
4/21/2025 10:00:00,5.4,4/21/2025 10:00:00,2.0,4/21/2025 10:00:58,3.70
4/21/2025 11:00:00,6.6,4/21/2025 11:00:00,3.0,4/21/2025 11:00:59,3.94
4/21/2025 12:00:00,7.4,4/21/2025 12:00:00,3.8,4/21/2025 12:00:59,4.18
4/21/2025 13:00:00,8.5,4/21/2025 13:00:00,5.3,4/21/2025 13:01:00,4.97
4/21/2025 14:00:00,9.1,4/21/2025 14:00:00,6.0,4/21/2025 14:01:13,5.74
4/21/2025 15:00:00,10,4/21/2025 15:00:00,7.3,4/21/2025 15:01:13,6.64
4/21/2025 16:00:00,10.3,4/21/2025 16:00:00,8.3,4/21/2025 16:01:14,7.61
4/21/2025 17:00:00,10.7,4/21/2025 17:00:00,10.0,4/21/2025 17:01:14,7.86
4/21/2025 18:00:00,11.2,4/21/2025 18:00:00,10.5,4/21/2025 18:01:15,8.09
4/21/2025 19:00:00,12.6,4/21/2025 19:00:00,12.3,4/21/2025 19:01:17,9.21
4/21/2025 20:00:00,12.4,4/21/2025 20:00:00,13.8,4/21/2025 20:01:16,9.20
4/21/2025 21:00:00,9.2,4/21/2025 21:00:00,7.0,4/21/2025 21:01:17,6.76
4/21/2025 22:00:00,10.7,4/21/2025 22:00:00,6.8,4/21/2025 22:01:17,7.39
4/21/2025 23:00:00,10.6,4/21/2025 23:00:00,8.5,4/21/2025 23:01:18,7.25
4/22/2025 0:00:00,10.2,4/22/2025 0:00:00,7.0,4/22/2025 0:01:21,6.81
4/22/2025 1:00:00,11.9,4/22/2025 1:00:00,10.5,4/22/2025 1:01:23,8.00
4/22/2025 2:00:00,13,4/22/2025 2:00:00,13.3,4/22/2025 2:01:24,8.76
4/22/2025 3:00:00,12.8,4/22/2025 3:00:00,14.0,4/22/2025 3:01:24,8.58
4/22/2025 4:00:00,12.5,4/22/2025 4:00:00,14.0,4/22/2025 4:01:25,8.25
4/22/2025 5:00:00,11.6,4/22/2025 5:00:00,12.3,4/22/2025 5:03:39,7.39
4/22/2025 6:00:00,11.7,4/22/2025 6:00:00,13.3,4/22/2025 6:01:26,7.55
4/22/2025 7:00:00,12,4/22/2025 7:00:00,14.0,4/22/2025 7:01:27,7.78
4/22/2025 8:00:00,12.2,4/22/2025 8:00:00,14.3,4/22/2025 8:01:27,8.18
4/22/2025 9:00:00,11.9,4/22/2025 9:00:00,16.0,4/22/2025 9:01:28,8.45
4/22/2025 10:00:00,12.4,4/22/2025 10:00:00,17.5,4/22/2025 10:01:28,8.59
4/22/2025 11:00:00,13.1,4/22/2025 11:00:00,19.5,4/22/2025 11:01:29,9.19
4/22/2025 12:00:00,15,4/22/2025 12:00:00,20.8,4/22/2025 12:01:29,10.20
4/22/2025 13:00:00,14.1,4/22/2025 13:00:00,19.0,4/22/2025 13:01:30,10.72
4/22/2025 14:00:00,13.1,4/22/2025 14:00:00,16.5,4/22/2025 14:01:30,10.49
4/22/2025 15:00:00,13.1,4/22/2025 15:00:00,17.0,4/22/2025 15:01:31,10.57
4/22/2025 16:00:00,11.1,4/22/2025 16:00:00,13.0,4/22/2025 16:01:32,9.37
4/22/2025 17:00:00,9.6,4/22/2025 17:00:00,9.5,4/22/2025 17:01:32,8.00
4/22/2025 18:00:00,8.2,4/22/2025 18:00:00,7.0,4/22/2025 18:01:33,7.32
4/22/2025 19:00:00,8.4,4/22/2025 19:00:00,7.3,4/22/2025 19:01:33,7.35
4/22/2025 20:00:00,9,4/22/2025 20:00:00,8.5,4/22/2025 20:01:34,7.27
4/22/2025 21:00:00,9.5,4/22/2025 21:00:00,9.8,4/22/2025 21:01:34,7.64
4/22/2025 22:00:00,9,4/22/2025 22:00:00,8.5,4/22/2025 22:01:35,7.10
4/22/2025 23:00:00,7.9,4/22/2025 23:00:00,6.8,4/22/2025 23:01:35,6.25
4/23/2025 0:00:00,7,4/23/2025 0:00:00,5.0,4/23/2025 0:01:36,5.60
4/23/2025 1:00:00,7.1,4/23/2025 1:00:00,4.5,4/23/2025 1:01:37,5.49
4/23/2025 2:00:00,7.1,4/23/2025 2:00:00,5.3,4/23/2025 2:01:37,5.26
4/23/2025 3:00:00,7.3,4/23/2025 3:00:00,6.0,4/23/2025 3:01:38,5.36
4/23/2025 4:00:00,11.5,4/23/2025 4:00:00,10.3,4/23/2025 4:01:38,8.86
4/23/2025 5:00:00,20,4/23/2025 5:00:00,24.0,4/23/2025 5:03:39,15.59
4/23/2025 6:00:00,16.8,4/23/2025 6:00:00,26.5,4/23/2025 6:01:39,13.65
4/23/2025 7:00:00,8.4,4/23/2025 7:00:00,12.3,4/23/2025 7:01:40,7.93
4/23/2025 8:00:00,5.2,4/23/2025 8:00:00,4.5,4/23/2025 8:01:40,5.33
4/23/2025 9:00:00,5.5,4/23/2025 9:00:00,4.5,4/23/2025 9:01:41,5.48
4/23/2025 10:00:00,5.4,4/23/2025 10:00:00,4.8,4/23/2025 10:01:42,5.35
4/23/2025 11:00:00,6.3,4/23/2025 11:00:00,5.8,4/23/2025 11:01:42,6.31
4/23/2025 12:00:00,9,4/23/2025 12:00:00,11.3,4/23/2025 12:01:43,8.41
4/23/2025 13:00:00,6.6,4/23/2025 13:00:00,7.0,4/23/2025 13:01:43,6.27
4/23/2025 14:00:00,4.8,4/23/2025 14:00:00,2.3,4/23/2025 14:01:44,5.14
4/23/2025 15:00:00,4.3,4/23/2025 15:00:00,1.0,4/23/2025 15:01:44,5.26
4/23/2025 16:00:00,5,4/23/2025 16:00:00,1.0,4/23/2025 16:01:45,6.29
4/23/2025 17:00:00,15.8,4/23/2025 17:00:00,20.0,4/23/2025 17:01:45,15.42
4/23/2025 18:00:00,13.7,4/23/2025 18:00:00,20.8,4/23/2025 18:01:46,13.18
4/23/2025 19:00:00,10.3,4/23/2025 19:00:00,12.8,4/23/2025 19:01:47,10.64
4/23/2025 20:00:00,16.4,4/23/2025 20:00:00,19.3,4/23/2025 20:01:47,14.92
4/23/2025 21:00:00,17.9,4/23/2025 21:00:00,25.0,4/23/2025 21:01:48,15.98
4/23/2025 22:00:00,15.5,4/23/2025 22:00:00,23.0,4/23/2025 22:01:48,13.30
4/23/2025 23:00:00,9.6,4/23/2025 23:00:00,11.3,4/23/2025 23:01:49,7.89
4/24/2025 0:00:00,6.4,4/24/2025 0:00:00,7.3,4/24/2025 0:01:49,5.78
4/24/2025 1:00:00,5.1,4/24/2025 1:00:00,4.0,4/24/2025 1:01:50,4.58
4/24/2025 2:00:00,4.3,4/24/2025 2:00:00,2.3,4/24/2025 2:01:50,3.73
4/24/2025 3:00:00,4.4,4/24/2025 3:00:00,2.0,4/24/2025 3:01:51,3.53
4/24/2025 4:00:00,4.3,4/24/2025 4:00:00,2.8,4/24/2025 4:01:52,3.36
4/24/2025 5:00:00,4.6,4/24/2025 5:00:00,3.0,4/24/2025 5:03:52,2.99
4/24/2025 6:00:00,4.9,4/24/2025 6:00:00,4.0,4/24/2025 6:01:53,2.85
4/24/2025 7:00:00,5,4/24/2025 7:00:00,4.5,4/24/2025 7:01:53,2.55
4/24/2025 8:00:00,5.2,4/24/2025 8:00:00,5.3,4/24/2025 8:01:54,2.61
4/24/2025 9:00:00,5.6,4/24/2025 9:00:00,5.5,4/24/2025 9:01:54,2.93
4/24/2025 10:00:00,5.7,4/24/2025 10:00:00,6.5,4/24/2025 10:01:55,2.93
4/24/2025 11:00:00,6.3,4/24/2025 11:00:00,7.3,4/24/2025 11:01:56,4.08
4/24/2025 12:00:00,7.8,4/24/2025 12:00:00,9.0,4/24/2025 12:01:56,6.06
4/24/2025 13:00:00,7.1,4/24/2025 13:00:00,6.8,4/24/2025 13:01:57,6.56
4/24/2025 14:00:00,8.4,4/24/2025 14:00:00,5.5,4/24/2025 14:01:57,7.66
4/24/2025 15:00:00,10.2,4/24/2025 15:00:00,9.0,4/24/2025 15:01:58,9.04
4/24/2025 16:00:00,16.7,4/24/2025 16:00:00,17.3,4/24/2025 16:01:59,15.01
4/24/2025 17:00:00,25.2,4/24/2025 17:00:00,33.0,4/24/2025 17:01:59,22.78
4/24/2025 18:00:00,23,4/24/2025 18:00:00,34.5,4/24/2025 18:02:00,20.17
4/24/2025 19:00:00,9.9,4/24/2025 19:00:00,15.8,4/24/2025 19:02:00,9.82
4/24/2025 20:00:00,5.5,4/24/2025 20:00:00,3.8,4/24/2025 20:02:01,6.46
4/24/2025 21:00:00,5.6,4/24/2025 21:00:00,3.0,4/24/2025 21:02:01,6.47
4/24/2025 22:00:00,4.9,4/24/2025 22:00:00,2.3,4/24/2025 22:02:02,5.36
4/24/2025 23:00:00,4.7,4/24/2025 23:00:00,2.0,4/24/2025 23:02:02,5.17
4/25/2025 0:00:00,4.1,4/25/2025 0:00:00,2.0,4/25/2025 0:02:03,4.67
4/25/2025 1:00:00,4.3,4/25/2025 1:00:00,2.0,4/25/2025 1:02:04,4.05
4/25/2025 2:00:00,4.5,4/25/2025 2:00:00,2.0,4/25/2025 2:00:04,3.24
4/25/2025 3:00:00,4.9,4/25/2025 3:00:00,3.0,4/25/2025 3:02:05,2.71
4/25/2025 4:00:00,4.8,4/25/2025 4:00:00,3.5,4/25/2025 4:02:05,2.21
4/25/2025 5:00:00,5.1,4/25/2025 5:00:00,4.0,4/25/2025 5:04:06,2.11
4/25/2025 6:00:00,5.5,4/25/2025 6:00:00,5.3,4/25/2025 6:02:06,2.14
4/25/2025 7:00:00,5.7,4/25/2025 7:00:00,6.0,4/25/2025 7:00:07,2.40
4/25/2025 8:00:00,5.9,4/25/2025 8:00:00,6.8,4/25/2025 8:02:08,2.59
4/25/2025 9:00:00,6.1,4/25/2025 9:00:00,7.0,4/25/2025 9:02:08,2.74
4/25/2025 10:00:00,6.3,4/25/2025 10:00:00,7.8,4/25/2025 10:00:09,3.18
4/25/2025 11:00:00,7.8,4/25/2025 11:00:00,11.0,4/25/2025 11:02:09,5.37
4/25/2025 12:00:00,7,4/25/2025 12:00:00,10.3,4/25/2025 12:02:10,4.65
4/25/2025 13:00:00,6.6,4/25/2025 13:00:00,4.8,4/25/2025 13:00:11,4.42
4/25/2025 14:00:00,7,4/25/2025 14:00:00,4.0,4/25/2025 14:02:11,5.01
4/25/2025 15:00:00,7.3,4/25/2025 15:00:00,4.3,4/25/2025 15:00:12,5.51
4/25/2025 16:00:00,7,4/25/2025 16:00:00,5.0,4/25/2025 16:02:12,5.55
4/25/2025 17:00:00,7.7,4/25/2025 17:00:00,6.0,4/25/2025 17:02:13,6.11
4/25/2025 18:00:00,8.5,4/25/2025 18:00:00,7.8,4/25/2025 18:00:14,7.05
4/25/2025 19:00:00,8,4/25/2025 19:00:00,7.5,4/25/2025 19:00:14,6.51
4/25/2025 20:00:00,7.6,4/25/2025 20:00:00,6.5,4/25/2025 20:02:15,6.05
4/25/2025 21:00:00,8.2,4/25/2025 21:00:00,7.5,4/25/2025 21:02:15,6.17
4/25/2025 22:00:00,8.6,4/25/2025 22:00:00,11.5,4/25/2025 22:02:16,5.50
4/25/2025 23:00:00,8.3,4/25/2025 23:00:00,12.8,4/25/2025 23:02:16,6.04
4/26/2025 0:00:00,8.7,4/26/2025 0:00:00,14.0,4/26/2025 0:00:17,6.14
4/26/2025 1:00:00,8.9,4/26/2025 1:00:00,13.3,4/26/2025 1:00:18,6.00
4/26/2025 2:00:00,8.3,4/26/2025 2:00:00,12.3,4/26/2025 2:02:18,5.20
4/26/2025 3:00:00,6.7,4/26/2025 3:00:00,8.5,4/26/2025 3:00:19,3.82
4/26/2025 4:00:00,6.7,4/26/2025 4:00:00,8.3,4/26/2025 4:00:19,3.45
4/26/2025 5:00:00,7.3,4/26/2025 5:00:00,9.5,4/26/2025 5:04:20,3.81
4/26/2025 6:00:00,8.2,4/26/2025 6:00:00,11.5,4/26/2025 6:00:20,4.75
4/26/2025 7:00:00,8.9,4/26/2025 7:00:00,15.3,4/26/2025 7:00:21,5.89
4/26/2025 8:00:00,9.1,4/26/2025 8:00:00,16.8,4/26/2025 8:02:21,7.04
4/26/2025 9:00:00,10,4/26/2025 9:00:00,19.0,4/26/2025 9:00:22,7.91
4/26/2025 10:00:00,11.6,4/26/2025 10:00:00,21.5,4/26/2025 10:02:23,9.28
4/26/2025 11:00:00,13.1,4/26/2025 11:00:00,23.5,4/26/2025 11:00:23,9.47
4/26/2025 12:00:00,12.3,4/26/2025 12:00:00,20.8,4/26/2025 12:02:24,8.79
4/26/2025 13:00:00,11.8,4/26/2025 13:00:00,18.5,4/26/2025 13:02:24,8.36
4/26/2025 14:00:00,11.1,4/26/2025 14:00:00,18.3,4/26/2025 14:00:25,8.18
4/26/2025 15:00:00,9.4,4/26/2025 15:00:00,14.3,4/26/2025 15:02:26,7.16
4/26/2025 16:00:00,8.3,4/26/2025 16:00:00,10.5,4/26/2025 16:02:26,6.82
4/26/2025 17:00:00,7.2,4/26/2025 17:00:00,9.3,4/26/2025 17:00:27,6.43
4/26/2025 18:00:00,5.4,4/26/2025 18:00:00,4.8,4/26/2025 18:02:27,5.35
4/26/2025 19:00:00,5.2,4/26/2025 19:00:00,4.0,4/26/2025 19:00:28,5.21
4/26/2025 20:00:00,4.8,4/26/2025 20:00:00,3.8,4/26/2025 20:00:29,4.77
4/26/2025 21:00:00,4.6,4/26/2025 21:00:00,4.0,4/26/2025 21:00:29,4.06
4/26/2025 22:00:00,3.6,4/26/2025 22:00:00,1.5,4/26/2025 22:00:30,2.37
4/26/2025 23:00:00,3.5,4/26/2025 23:00:00,0.8,4/26/2025 23:00:30,2.15
4/27/2025 0:00:00,4.7,4/27/2025 0:00:00,3.3,4/27/2025 0:00:31,2.85
4/27/2025 1:00:00,5.5,4/27/2025 1:00:00,6.0,4/27/2025 1:00:31,3.94
4/27/2025 2:00:00,5.9,4/27/2025 2:00:00,7.5,4/27/2025 2:02:32,5.39
4/27/2025 3:00:00,6,4/27/2025 3:00:00,8.0,4/27/2025 3:02:32,5.75
4/27/2025 4:00:00,5.1,4/27/2025 4:00:00,7.3,4/27/2025 4:02:33,4.88
4/27/2025 5:00:00,4.8,4/27/2025 5:00:00,4.8,4/27/2025 5:04:34,4.52
4/27/2025 6:00:00,4.6,4/27/2025 6:00:00,4.8,4/27/2025 6:00:34,4.32
4/27/2025 7:00:00,4.6,4/27/2025 7:00:00,4.3,4/27/2025 7:02:35,4.21
4/27/2025 8:00:00,5.4,4/27/2025 8:00:00,6.3,4/27/2025 8:00:35,5.19
4/27/2025 9:00:00,4.3,4/27/2025 9:00:00,5.3,4/27/2025 9:00:36,3.74
4/27/2025 10:00:00,2.9,4/27/2025 10:00:00,1.3,4/27/2025 10:00:36,2.75
4/27/2025 11:00:00,2.8,4/27/2025 11:00:00,1.0,4/27/2025 11:02:37,2.85
4/27/2025 12:00:00,2.6,4/27/2025 12:00:00,0.8,4/27/2025 12:02:37,2.93
4/27/2025 13:00:00,2.2,4/27/2025 13:00:00,0.0,4/27/2025 13:00:38,3.32
4/27/2025 14:00:00,2.1,4/27/2025 14:00:00,0.0,4/27/2025 14:00:39,3.61
4/27/2025 15:00:00,2.4,4/27/2025 15:00:00,0.0,4/27/2025 15:00:39,3.85
4/27/2025 16:00:00,2.5,4/27/2025 16:00:00,0.0,4/27/2025 16:00:40,4.29
4/27/2025 17:00:00,2.6,4/27/2025 17:00:00,0.0,4/27/2025 17:00:40,4.41
4/27/2025 18:00:00,2.6,4/27/2025 18:00:00,0.0,4/27/2025 18:00:41,4.66
4/27/2025 19:00:00,2.8,4/27/2025 19:00:00,0.0,4/27/2025 19:02:41,4.83
4/27/2025 20:00:00,2.7,4/27/2025 20:00:00,0.0,4/27/2025 20:00:42,4.90
4/27/2025 21:00:00,2.7,4/27/2025 21:00:00,0.0,4/27/2025 21:00:42,4.80
4/27/2025 22:00:00,2.9,4/27/2025 22:00:00,0.0,4/27/2025 22:02:43,4.76
4/27/2025 23:00:00,2.8,4/27/2025 23:00:00,0.3,4/27/2025 23:00:44,4.55
4/28/2025 0:00:00,3.5,4/28/2025 0:00:00,1.0,4/28/2025 0:00:44,4.52
4/28/2025 1:00:00,4.5,4/28/2025 1:00:00,2.3,4/28/2025 1:00:45,4.54
4/28/2025 2:00:00,5.9,4/28/2025 2:00:00,4.5,4/28/2025 2:00:45,5.31
4/28/2025 3:00:00,4.8,4/28/2025 3:00:00,3.3,4/28/2025 3:00:46,4.10
4/28/2025 4:00:00,4.6,4/28/2025 4:00:00,3.0,4/28/2025 4:00:46,3.79
4/28/2025 5:00:00,4.2,4/28/2025 5:00:00,2.8,4/28/2025 5:04:47,3.50
4/28/2025 6:00:00,3.6,4/28/2025 6:00:00,2.5,4/28/2025 6:00:48,3.09
4/28/2025 7:00:00,3.2,4/28/2025 7:00:00,1.0,4/28/2025 7:02:48,3.10
4/28/2025 8:00:00,3.1,4/28/2025 8:00:00,1.0,4/28/2025 8:00:49,3.27
4/28/2025 9:00:00,3.2,4/28/2025 9:00:00,1.0,4/28/2025 9:02:49,3.02
4/28/2025 10:00:00,3.9,4/28/2025 10:00:00,1.3,4/28/2025 10:00:50,3.07
4/28/2025 11:00:00,6.1,4/28/2025 11:00:00,6.8,4/28/2025 11:00:50,5.61
4/28/2025 12:00:00,3.7,4/28/2025 12:00:00,1.5,4/28/2025 12:00:51,3.53
4/28/2025 13:00:00,3.3,4/28/2025 13:00:00,0.8,4/28/2025 13:02:51,4.15
4/28/2025 14:00:00,2.8,4/28/2025 14:00:00,0.0,4/28/2025 14:00:52,4.49
4/28/2025 15:00:00,2.8,4/28/2025 15:00:00,0.0,4/28/2025 15:00:53,4.70
4/28/2025 16:00:00,3,4/28/2025 16:00:00,0.0,4/28/2025 16:00:53,4.94
4/28/2025 17:00:00,3.3,4/28/2025 17:00:00,0.0,4/28/2025 17:00:54,5.08
4/28/2025 18:00:00,3.4,4/28/2025 18:00:00,0.0,4/28/2025 18:02:54,4.94
4/28/2025 19:00:00,3.4,4/28/2025 19:00:00,0.0,4/28/2025 19:00:55,5.03
4/28/2025 20:00:00,3.4,4/28/2025 20:00:00,0.0,4/28/2025 20:00:55,5.17
4/28/2025 21:00:00,3.7,4/28/2025 21:00:00,0.3,4/28/2025 21:00:56,5.36
4/28/2025 22:00:00,3.9,4/28/2025 22:00:00,0.8,4/28/2025 22:00:57,5.32
4/28/2025 23:00:00,4,4/28/2025 23:00:00,1.0,4/28/2025 23:00:57,4.88
4/29/2025 0:00:00,3.6,4/29/2025 0:00:00,1.3,4/29/2025 0:00:58,4.36
4/29/2025 1:00:00,3.2,4/29/2025 1:00:00,1.0,4/29/2025 1:00:58,4.04
4/29/2025 2:00:00,3.3,4/29/2025 2:00:00,1.0,4/29/2025 2:00:59,3.94
4/29/2025 3:00:00,3.4,4/29/2025 3:00:00,1.0,4/29/2025 3:00:59,3.64
4/29/2025 4:00:00,3.4,4/29/2025 4:00:00,1.0,4/29/2025 4:01:00,3.59
4/29/2025 5:00:00,3.2,4/29/2025 5:00:00,1.0,4/29/2025 5:03:01,3.42
4/29/2025 6:00:00,3.3,4/29/2025 6:00:00,1.0,4/29/2025 6:01:01,3.06
4/29/2025 7:00:00,3.6,4/29/2025 7:00:00,1.3,4/29/2025 7:01:02,3.02
4/29/2025 8:00:00,3.7,4/29/2025 8:00:00,2.0,4/29/2025 8:01:02,2.74
4/29/2025 9:00:00,3.9,4/29/2025 9:00:00,2.0,4/29/2025 9:01:03,2.77
4/29/2025 10:00:00,4.4,4/29/2025 10:00:00,2.3,4/29/2025 10:01:03,2.83
4/29/2025 11:00:00,5.5,4/29/2025 11:00:00,4.3,4/29/2025 11:01:04,3.88
4/29/2025 12:00:00,6.2,4/29/2025 12:00:00,5.0,4/29/2025 12:01:05,4.33
4/29/2025 13:00:00,6,4/29/2025 13:00:00,4.0,4/29/2025 13:01:05,4.48
4/29/2025 14:00:00,5.7,4/29/2025 14:00:00,3.0,4/29/2025 14:03:06,4.39
4/29/2025 15:00:00,6.4,4/29/2025 15:00:00,4.0,4/29/2025 15:01:07,5.13
4/29/2025 16:00:00,7,4/29/2025 16:00:00,5.3,4/29/2025 16:01:07,6.17
4/29/2025 17:00:00,7.5,4/29/2025 17:00:00,6.0,4/29/2025 17:01:08,6.43
4/29/2025 18:00:00,7.8,4/29/2025 18:00:00,7.0,4/29/2025 18:01:08,6.92
4/29/2025 19:00:00,8.3,4/29/2025 19:00:00,7.8,4/29/2025 19:03:09,7.14
4/29/2025 20:00:00,8.8,4/29/2025 20:00:00,8.3,4/29/2025 20:01:09,7.48
4/29/2025 21:00:00,8.7,4/29/2025 21:00:00,8.3,4/29/2025 21:01:10,7.35
4/29/2025 22:00:00,8.9,4/29/2025 22:00:00,8.0,4/29/2025 22:01:10,7.25
4/29/2025 23:00:00,8.6,4/29/2025 23:00:00,8.0,4/29/2025 23:01:11,7.05
4/30/2025 0:00:00,8.5,4/30/2025 0:00:00,8.0,4/30/2025 0:01:11,6.98
4/30/2025 1:00:00,8.7,4/30/2025 1:00:00,8.5,4/30/2025 1:01:12,6.86
4/30/2025 2:00:00,8.6,4/30/2025 2:00:00,9.0,4/30/2025 2:01:13,6.68
4/30/2025 3:00:00,9.4,4/30/2025 3:00:00,10.8,4/30/2025 3:01:13,7.26
4/30/2025 4:00:00,10.9,4/30/2025 4:00:00,13.8,4/30/2025 4:01:14,8.43
4/30/2025 5:00:00,13.4,4/30/2025 5:00:00,18.3,4/30/2025 5:03:14,10.53
4/30/2025 6:00:00,16.2,4/30/2025 6:00:00,23.3,4/30/2025 6:01:15,12.41
4/30/2025 7:00:00,18.3,4/30/2025 7:00:00,26.8,4/30/2025 7:01:15,13.52
4/30/2025 8:00:00,16.4,4/30/2025 8:00:00,25.5,4/30/2025 8:01:16,12.44
4/30/2025 9:00:00,12.9,4/30/2025 9:00:00,21.0,4/30/2025 9:01:16,10.17
4/30/2025 10:00:00,11.8,4/30/2025 10:00:00,19.3,4/30/2025 10:01:17,9.35
4/30/2025 11:00:00,12.1,4/30/2025 11:00:00,19.3,4/30/2025 11:01:18,9.46
4/30/2025 12:00:00,12.3,4/30/2025 12:00:00,18.5,4/30/2025 12:01:18,9.53
4/30/2025 13:00:00,12.4,4/30/2025 13:00:00,17.3,4/30/2025 13:01:19,9.95
4/30/2025 14:00:00,10.1,4/30/2025 14:00:00,13.0,4/30/2025 14:03:19,8.58
